Location,Year,Date,Event,Stage,Round,Heat,Athlete,Country,Age,Final_Rank,Rank,Time,Avg Speed
Cali,2022,2022-07-10,NC,R16,1,6,WEBSTER Sam,NZL,,11.0,1.0,10.383,69.34412019647502
Cali,2022,2022-07-10,NC,R16,1,6,BOTTASSO Leandro,ARG,,23.0,2.0,10.575999999999999,68.07866868381241
Cali,2022,2022-07-10,NC,R16,1,7,RAMIREZ MORALES Santiago,COL,27.991780821917807,8.0,1.0,10.156,70.89405277668374
Cali,2022,2022-07-10,NC,R16,1,7,HSIEH Nien Hsing,TPE,,22.0,2.0,10.517000000000001,68.46058762004373
Cali,2022,2022-07-10,NC,R16,1,8,PONOMARYOV Sergey,KAZ,24.252054794520546,16.0,1.0,10.369,69.43774713087086
Cali,2022,2022-07-10,NC,R16,1,8,ANGSUTHASAWIT Jai,THA,27.413698630136988,17.0,2.0,10.431,69.02502157031924
Cali,2022,2022-07-10,NC,R16,1,9,VILAR Lucas Oscar,ARG,,15.0,1.0,10.686,67.3778775968557
Cali,2022,2022-07-10,NC,R16,1,9,CHUGAY Andrey,KAZ,22.493150684931507,18.0,2.0,10.713,67.20806496779615
Cali,2022,2022-07-10,NC,R16,1,10,LIU Qi,BDR,21.624657534246577,12.0,1.0,10.409,69.17090978960515
Cali,2022,2022-07-10,NC,R16,1,10,LENDEL Vasilijus,LTU,27.27123287671233,21.0,2.0,10.429,69.03825870169719
Cali,2022,2022-07-10,NC,R16,1,11,DAKIN Sam,NZL,,13.0,1.0,10.418,69.11115377231715
Cali,2022,2022-07-10,NC,R16,1,11,MARTINEZ CHORRO Alejandro,ESP,24.134246575342466,20.0,2.0,10.536,68.3371298405467
Cali,2022,2022-07-10,NC,R16,1,12,BROWNE Kwesi,TTO,,14.0,1.0,10.416,69.12442396313364
Cali,2022,2022-07-10,NC,R16,1,12,HEDGCOCK James,CAN,20.663013698630138,19.0,2.0,10.452,68.88633754305395
Cali,2022,2022-07-10,NC,R8,1,1,LAVREYSEN Harrie,NED,25.339726027397262,2.0,1.0,10.231,70.37435245821523
Cali,2022,2022-07-10,NC,R8,1,1,BROWNE Kwesi,TTO,,14.0,2.0,10.599,67.93093688083782
Cali,2022,2022-07-10,NC,R8,1,2,PAUL Nicholas,TTO,23.81095890410959,1.0,1.0,10.082,71.41440190438405
Cali,2022,2022-07-10,NC,R8,1,2,DAKIN Sam,NZL,,13.0,2.0,10.226,70.40876197926852
Cali,2022,2022-07-10,NC,R8,1,3,HOOGLAND Jeffrey,NED,29.336986301369862,3.0,1.0,10.192,70.6436420722135
Cali,2022,2022-07-10,NC,R8,1,3,LIU Qi,BDR,21.624657534246577,12.0,2.0,10.416,69.12442396313364
Cali,2022,2022-07-10,NC,R8,1,4,ORTEGA FONTALVO Cristian David,COL,21.791780821917808,4.0,1.0,10.177,70.74776456716125
Cali,2022,2022-07-10,NC,R8,1,4,VILAR Lucas Oscar,ARG,,15.0,2.0,10.221,70.44320516583504
Cali,2022,2022-07-10,NC,R8,1,5,DÖRNBACH Maximilian,GER,,5.0,1.0,10.205,70.55365017148456
Cali,2022,2022-07-10,NC,R8,1,5,PONOMARYOV Sergey,KAZ,24.252054794520546,16.0,2.0,10.245,70.27818448023426
Cali,2022,2022-07-10,NC,R8,1,6,RAMIREZ MORALES Santiago,COL,27.991780821917807,8.0,1.0,10.078,71.44274657670174
Cali,2022,2022-07-10,NC,R8,1,6,TJON EN FA Jaïr,SUR,,9.0,2.0,10.149999999999999,70.93596059113301
Cali,2022,2022-07-10,NC,R8,1,7,ZHOU Yu,CHN,23.526027397260275,6.0,1.0,10.09,71.35777998017839
Cali,2022,2022-07-10,NC,R8,1,7,WEBSTER Sam,NZL,,11.0,2.0,10.134,71.04795737122558
Cali,2022,2022-07-10,NC,R8,1,8,LANDERNEAU Melvin,FRA,24.797260273972604,7.0,1.0,10.283,70.01847709812311
Cali,2022,2022-07-10,NC,R8,1,8,XUE Chenxi,CHN,21.46301369863014,10.0,2.0,10.299,69.90969997087096
Cali,2022,2022-07-10,NC,QF,1,1,LAVREYSEN Harrie,NED,25.339726027397262,2.0,1.0,10.259,70.18227897455893
Cali,2022,2022-07-10,NC,QF,1,1,LANDERNEAU Melvin,FRA,24.797260273972604,7.0,2.0,10.448,68.91271056661562
Cali,2022,2022-07-10,NC,QF,1,2,PAUL Nicholas,TTO,23.81095890410959,1.0,1.0,10.069,71.50660442943688
Cali,2022,2022-07-10,NC,QF,1,2,ZHOU Yu,CHN,23.526027397260275,6.0,2.0,10.719000000000001,67.17044500419814
Cali,2022,2022-07-10,NC,QF,1,3,HOOGLAND Jeffrey,NED,29.336986301369862,3.0,1.0,9.883,72.85237276130731
Cali,2022,2022-07-10,NC,QF,1,3,RAMIREZ MORALES Santiago,COL,27.991780821917807,8.0,2.0,10.026,71.8132854578097
